Devices;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;WARNING: Following symbols ';' are here so as to force Excel to add ';' at the end of each line. Without final ';' the JSON generation will fail. Need to find a solution for this CSV-export issue.
Type;OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;IP;USB Type;SD Card;SIM;UI;;
smartphone;Android;Blloc Phone;BllocZero18;5.8’’;?;Full HD+;Mediatek Helio P23;ARM Mali-G71 MP2;? , BeiDou , Galileo , Glonass , GPS;3000 mAh , ?;64 GB;4 GB;Sony IMX258    13 MP    (back) , 8 MP    (front);?;?;?;? , C;?;?;Blloc OS;;
smartphone;iOS;Apple;iPhone 6S;4.7'';Retina HD , IPS;750 x 1334 px;Apple A9;PowerVR GT7600;barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1715 mAh , Li-Polymer;16 GB, 64 GB, 128 GB;2 GB;Sony IMX315    4.8x3.6 mm    1.10 µm    f/2.2    12.19 MP    (back) , 4.92 MP    (front);138.3 x 67.1 x 7.1 mm;143 g;no;?;no;nano;?;;
smartphone;iOS;Apple;iPhone 6;4.7'';Retina , IPS;750 x 1334 px;Apple A8;PowerVR  GX6450;barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1810 mAh , Li-Polymer;16 GB, 64 GB, 128 GB;1 GB;Sony Exmor RS    CMOS BSI    4.8x4.6 mm    1.471µm    f/2.2    8 MP    (back) , 1.23 MP    (front);138.1 x 67 x 6.9 mm;129 g;no;?;no;nano;?;;
smartphone;iOS;Apple;iPhone SE;4'';Retina , IPS;640 x 1136 px;Apple A9;PowerVR  GT7600; fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1642 mAh , Li-Polymer;16 GB , 64 GB;2 GB;Sony IMX315    4.8x3.6 mm    1.19 µm    f/2.2    12.19 MP    (back) , 1.2 MP    (front);123.8 x 58.6 x 7.6 mm;113 g;no;?;no;nano;?;;
smartphone;iOS;Apple;iPhone 7;4.7'';Retina HD , ForceTouch , IPS;750 x 1334 px , 326ppi;Apple A10 Fusion;?;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;1960 mAh , Li-Polymer;32 GB , 128 GB , 256 GB;2 GB;f/1.8    12.19 MP    quad-LED-flash    6-elements-lens    (back) , f/2.2    7 MP    (front);138.3 x 67.1 x 7.1 mm;138 g;IP 67;2.0;no;nano;?;;
smartphone;iOS;Apple;iPhone 8;4.7’’;IPS;750 x 1334 px;Apple A11 Bionic;?;fingerprint , barometer , gyroscope , compass , accelerometer , light , proximity , Bluetooth 5.0 , Wi-Fi, GPS;? , Li-Ion;64 GB , 256 GB;2 GB;Sony Exmor RS    CMOS    f/1.8    12.19 MP    (back) , 7.16 MP    (front);138.4 x 67.3 x 7.3 mm;148 g;IP 67;2.0;no;nano;?;;
smartphone;iOS;Apple;iPhone 8 Plus;5.5’’;IPS;1080 x 1920 px = Full HD;Apple A11 Bionic;?;fingerprint , barometer , gyroscope , compass , accelerometer , light , proximity , Bluetooth 5.0 , Wi-Fi, GPS;? , Li-Ion;64 GB , 256 GB;3 GB;Sony Exmor RS    CMOS    f/1.8    12.19 MP    (back) , 7.16 MP    (front);158.4 x 78.1 x 7.5 mm;202 g;IP 67;2.0;no;nano;?;;
smartphone;iOS;Apple;iPhone X;5.8’’;Super Retina , OLED , 3D Touch;2436 x 1125 px;Apple A11 Bionic;?;face recognition , proximity , light , accelerometer , compass , gyroscope , barometer , Bluetooth 5, Wi-Fi, NFC;? , Li-Ion;64 GB , 256 GB;3 GB;Sony Exmor RS    CMOS    f/1.8    12.19 MP    (back) , 7.16 MP    (front);143.6 x 70.9 x 7.7 mm;174 g;IP 67;2.0;no;nano;?;;
smartphone;iOS;Apple;iPhone XR;6.1’’;IPS;828 x 1792 px;Apple A12 Bionic;?;face recognition , ? , Bluetooth 5 , Wi-Fi a b g n ac , GPS , A-GPS , GLONASS;? , Li-Ion;64 GB , 128 GB , 256 GB;3 GB;?;150.9 x 75.7 x 8.3 mm;194 g;IP 67;2.0;no;nano , eSIM;?;;
smartphone;iOS;Apple;iPhone XS;5.8’’;OLED;1125 x 2436 px;Apple A12 Bionic;?;face recognition , ? , Bluetooth 5 , Wi-Fi a b g n ac , GPS , A-GPS , GLONASS;? , Li-Ion;64 GB , 256 GB , 51 GB;4 GB;?;143.6 x 70.9 x 7.7 mm;177 g;IP 68;2.0;no;nano , eSIM;?;;
smartphone;iOS;Apple;iPhone XS Max;6.5’’;OLED;1242 x 2688 px;Apple A12 Bionic;?;face recognition , ? , Bluetooth 5 , Wi-Fi a b g n ac , GPS , A-GPS , GLONASS;3300 mAh , Li-Ion;64 GB , 256 GB , 51 GB;6 GB;?;157.5 x 77.4 x 7.9 mm;208 g;IP 68;2.0;no;nano , eSIM;?;;
smartphone;Windows;Nokia;Lumia 950;5.2'';AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 808;Qualcomm Adreno 418;proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;3 GB;CMOS BSI    5.76x4.19 mm    1.071 µm    f/1.9    20.13 MP    (back) , 5.02 MP    (front);145 x 73.2 x 8.2 mm;150 g;no;3.1 , C;microSD;nano;?;;
smartphone;Windows;HP;Elite x3;6'';IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;?;iris scanner , ?;?;64 GB;4 GB;16 MP    (back) , 8 MP    (front);?;?;?;C;microSD;?;?;;
smartphone;Sworfish OS;Turing Robotic Industries;Monolith Chaconne;6.4'';?;2160 x 3840 px = 4K;Qualcomm Snapdragon 830 , Qualcomm Snapdragon 830 , Qualcomm Snapdragon 830;?;?;?;1.2 TB;18 GB;60 MP    (back) , 20 MP    (front);?;?;?;?;microSD , microSD;nano , nano , nano , nano;?;;
watch;Android Wear;Huawei;Watch;1.4'';Sapphire crystal , AMOLED;286 PPP;Qualcomm Snapdragon 400;?;gyroscope , barometer , accelerometer , heart sensor , Wi-Fi , Bluetooth;300 mAh;4 GB;512 MB;no;42 x 42 x 11.3 mm;95 g;IP 67;?;no;no;?;;
watch;Tizen;Samsung;Gear S2;1.2'';OLED;360 x 360 px , 424 ppp;Samsung Exynos 3250;?;accelerometer , gyroscope , light , barometer , Wi-Fi, GPS (option);250 mAh , 350 mAh;4 GB;512 MB;no;49.8 x 42.3 x 11.4 mm;47 g;IP 68;micro-B;no;?;?;;
watch;Tizen;Samsung;Gear S3;1.3'';Corning Gorilla Glass , Super AMOLED;360 x 360 px , 424 ppp;?;?;? , NFC;?;4 GB;?;no;?;?;IP 68;?;no;no;?;;
watch;Tizen;Samsung;Gear S3 Frontier;1.3'';sAMOLED;360 x 360 px;Samsung Exynos 7270;?;heart sensor , podometer , accelerometer , compass , Bluetooth , GPS , Wi-Fi;380 mAh;?;768 MB;no;46 x 49 x 12,9 mm;57 g;IP 68;?;no;no;?;;
watch;Tizen;Samsung;Gear Sport;1.2'';Super AMOLED;360 x 360 px, 302 PPP;1 Ghz, dual core;?;accelerometer , gyroscope , GPS , barometer;300 mAh;4 GB;768 Mo;no;44.6 x 42.9 x 11.6 mm;50 g;?;?;?;?;?;;
watch;Android Wear;Motorola;Moto 360 (2nd gen);1.37'' , 1.56'';LCD;360 x 325 px , 360 x 360 px;Qualcomm Snapdragon 400;?;heart, gyroscope , accelerometer , boussole, Wi-Fi;300 mAh , 400 mAh;4 GB;512 MB;no;42 x 42 x 11.4 mm , 46 x 46 x 11.4 mm;?;IP 67;?;no;no;?;;
watch;Android Wear;LG;Watch Urbane (2nd gen);1.38'';Gorilla Glass 3 , P-OLED;480 x 480 px , 348 ppp;Qualcomm Snapdragon 400;?;heart , gyroscope , accelerometer , barometer , GPS , Wi-FI;570 mAh;4 GB;768 MB;no;44.5 x 44.5 x 14.2 mm;92.7 g;IP 67;?;no;?;?;;
watch;Android Wear;LG;G Watch R;1.3'';P-OLED;320 x 320 px;Qualcomm Snapdragon 400;?;barometer , accelerometer , compass, altimeter, BLE;410 mAh;4 GB;512 MB;no;53.6 x 46.4 x 9.7 mm;62 g;IP 67;?;no;no;?;;
watch;Android Wear;LG;G Watch Sport;1.38’’;?;480 x 480 px;Qualcomm Snapdragon Wear 2100;?;4G , NFC , GPS;430 mAh;?;768 MB;no;?;?;IP 68;?;no;?;?;;
watch;Pebble's OS;Pebble;Time;1.25'';Gorilla 2 , LED , E-INK;168 x 144 px , 182 ppi;ST Micro STM32F439ZG MCU;?;accelerometer , gyroscope , compass, light , Blueetoh;150 mAh;?;126 MB;no;40.5 x 37.5 x 95.mm;42 g;IP 67;?;no;no;?;;
watch;Android Wear;Asus;Zen Watch 2;1.45'' , 1.63'';Gorilla Glass 3 , AMOLED;280 x 280 px , 320 x 320 px;Qualcomm Snapdragon 400;?;heart, gyroscope , accelerometer , compass , Wi-Fi;300 mAh , 400 mAh;4 GB;512 MB;no;45.2 x 37.2 x 11.1 mm , 49.6 x 40.7 x 10.0 mm;?;IP 67;?;no;no;?;;
watch;Android Wear;Asus;Zen Watch 3;1.39'';?;100 x 400 px , 297 ppp;Qualcomm Snapdragon Wear 2100;Qualcomm Adreno 304;?;340 mAh;4  GB;512 MB;no;  x  x 9.95 mm;?;?;?;no;no;?;;
watch;Android Wear;Fossil;Q Marshal;?;?;?;?;?;Temperature , fitness , notifications ,  gyroscope , Bluetooth 4.1;360 mAh;4 GB;?;no;?;?;?;?;no;no;?;;
watch;Fitbit OS;Fitbit;Ionic;?;LCD;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;;
watch;watchOS;Apple;Watch Series 3;?;?;?;Apple W2;?;?;?;?;?;?;?;?;?;?;?;?;?;;
watch;watchOS;Apple;Watch Series 4;;Retina , OLED;;Apple W3;;altimeter , accelerometer ,  gyroscope , light , heart beat , electrocardiogram , fall detection , GPS , GLONASS , Galileo , WiFi b g n , Bluetooth 5;;16 GB;;;44 mm / 40 mm;;;;;;;;
band;/;Xiaomi;Mi Band 2;0.42'';OLED;?;?;?;clock , step , calories , heart rythm;?;?;?;no;?;?;?;?;no;no;?;;
band;/;Xiaomi;Mi Band Pulse / Mi Band 1S;no;no;no;?;no;Bluetooth 4.1 , vibrator , 3 LED , accelerometer , heart rythm;45 mAh;?;?;no;?;?;?;?;no;no;/;;
band;/;Sony;Smartband SWR10;no;no;no;ARM Cortex-M0 32 bits;no;vibrator , 3 LED , BLE , NFC;35 mAh;?;16 kB;no;?;21 g;IP 58;micro USB;no;no;/;;
band;/;Sony;Smartband 2;no;no;no;?;no;heart rythm , vibrator , NFC , Bluetooth;?;?;?;no;?;?;IP 67;micro USB;no;no;/;;
band;/;Sony;Smartwatch 3;1.6'';?;320 x 320 px;Qualcomm Snapdragon 400;?;accelerometer , compass , gyroscope , Bluetooth 4.0 , GPS;420 mAh;4 GB;512 MB;no;51 x 36 x 10 mm;46 g;IP 68;no;no;no;?;;
band;/;Fitbit;Charge 2;?;OLED;?;?;?;Bluetooth 4.0 , heart rythm , accelerometer , altimeter , vibrator , chronometer , podometer , notifications;? , Li-Polymer;?;?;no;?;?;?;?;no;no;?;;
band;/;Fitbit;Flex 2;no;no;no;?;?;5 LED , sleep , step , calories , notifications;?;?;?;no;?;?;IP 68;no;no;no;/;;
band;/;Meizu;Band;?;OLED;?;?;?;podometer , calories , heart rythm , sleep , Bluetooth , notifications;;?;?;no;?;?;IP ?;?;no;no;?;;
band;/;Jawbone;UP24;no;no;no;?;?;Bluetooth 4.0 , podometer , sleep , jack 3.5;?;?;?;no;?;?;IP 67;no;no;no;/;;
band;/;Asus;VivoWatch;1.28 '';Corning Gorilla Glass 3 , LCD;128 x 128 px;?;?;Bluetooth 4.0 , heart rythm , accelerometer , UV , step , calories;?;?;?;no;?;50 g;?;no;no;no;?;;
band;/;Withings;Activité Steel;?;?;?;?;?;Bluetooth 4.0 , step , run , swim , sleep , calories;battery CR2025;?;?;no;?;?;IP 68;no;no;no;?;;
band;/;TomTom;Touch;?;OLED;?;?;?;Bluetooth , heart rythm , podometer , calories , distance , clock , body composition , notifications , sleep;?;?;?;no;?;?;IP X7;?;no;no;/;;
band;Tizen;Samsung;Gear Fit2;?;AMOLED;432 x 216 px;?;?;Bluetooth 4.2 BLE , Wi-Fi , GPS;200 mAh;4 GB;512 MB;no;?;?;ISO 22810:2010;?;no;no;?;;
box;Android;Nvidia;Shield Android TV (2017);no;no;no;Nvidia Tegra x1;Maxwell (256 CUDA core);Bluetooth 4.1 , BLE , WiFi , HDMI , Gigabit Ethernet;no;?;3 GB;no;210 x 130 x 25 mm;654 g;no;USB 2.0 , microUSB 3.0;no;no;?;;
box;?;Razer;Razer Forge TV;no;no;no;Snapdragon 805;Qualcomm Adreno 420;WiFi , HDMI , Gigabit Ethernet;no;16 GB;2 GB;no;105 x 105 x 17 mm;?;no;USB 2.0 , microUSB 3.0;no;no;/;;
box;tvOS;Apple;Apple TV;no;no;no;A8;PowerVR GX6450;Bluetooth 4.0 , WiFi , HDMI , Gigabit Ethernet;no;32 GB , 64 GB;2 GB;no;33 x 99 x 99 mm;425 g;no;microUSB C;no;no;/;;
beamer;Android;Sony;Xperia Touch;no;no;no;?;?;Miracast , NFC , micro HDMI , Wi-Fi , Bluetooth 4.2;no;?;3 GB;no;143 x 134 x 69 mm;932 g;no;C;no;no;/;;
headset;?;Lenovo;Mirage Solo;5.5 '';LCD , IPS;QHD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;?;4000 mAh, ?;64 GB;4 GB;?;?;?;?;?;microSD;no;?;;
headset;?;Oculus;Go;?;LCD;1440 x 2560 px = WQHD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;?;?;?;?;?;?;?;?;?;?;no;?;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
