Devices;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;WARNING: Following symbols ';' are here so as to force Excel to add ';' at the end of each line. Without final ';' the JSON generation will fail. Need to find a solution for this CSV-export issue.
Type;OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;IP;USB Type;SD Card;SIM;UI;;
smartphone;Android;LG;Q8;5.2’’;Corning Gorilla Glass 4 , IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall , fingerprint , barometer , gyroscope , compass , accelerometer , light , proximity , Bluetooth 4.2, GPS , Wi-Fi;3000 mAh , Li-Ion;32 GB;4 GB;CMOS    f/1.8    12.98 MP    (back) , 5.04 MP    (front);149 x 71.9 x 8 mm;146 g;IP 67;2.0 , C;microSD;nano;UX 5.0 +;;
smartphone;Android;Sony;Xperia Z3 Compact;4.6'';IPS;720 x 1280 px = HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330; barometer ,proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2600 mAh , Li-Ion;16 GB , 32 GB;2 GB;Sony Exmor IMX220 RS    CMOS    6.17x4.55mm    1.176 µm    f/2.0    20.66 MP    (back) , 2.07 MP    (front);127 x 64.9 x 8.6 mm;129 g;IP 68;2.0 , micro-B;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia Z5;5.2'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;Geomagnetic , barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2900 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55 mm    1.118 µm    22.85 MP    (back) , 5,04 MP    (front);146 x 72 x 7.3 mm;154 g;IP 68;2.0 , micro-B;no;nano;Xperia UI;;
smartphone;Android;Sony;Xperia Z5 Compact;4.6'';IPS;720 x 1280 px = HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;Geomagnetic , barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2700 mAh , Li-Polymer;32 GB;2 GB;Sony Exmor RS    CMOS    6.17x4.55 mm    1.118 µm    22.85 MP    (back) , 5,04 MP    (front);127 x 65 x 8.9 mm;138 g;IP 68;2.0 , micro-B;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia X;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 650;Qualcomm Adreno 510;barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2620 mAh , LI-Polymer;32 GB , 64 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55mm    1.118µm    22.85 MP    (back) , 12.98 MP    (front);142.7 x 64.9 x 7.9 mm;153 g;no;2.0 , micro-B;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia X Compact;4.6'';IPS;720 x 1280 px = HD;Qualcomm Snapdragon 650;Qualcomm Adreno 510;barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2700 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55mm    1.118µm    22.85 MP    (back) , 12.98 MP    (front);129 x 65 x 9.5 mm;135 g;no;2.0 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia X Performance;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2700 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55mm    1.118µm    22.85 MP    (back) , 12.98 MP    (front);144.8 x 71.1 x 8.7 mm;165 g;IP 68;2.0 , micro-B;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XZ;5.2'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2900 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55mm    1.118µm    22.85 MP    (back) , 12.98 MP    (front);146 x 72 x 8.1 mm;161 g;IP 68;2.0 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XZ1;5.2’’;Corning Gorilla Glass 5 , IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , fingerprint , compass , accelerometer , light , proximity , Wi-Fi , Bluetooth 5 , GPS;2700 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.0    19.3 MP    (back) , 12.98 MP    (front);148 x 73 x 7.4 mm;155g;IP 68 , IP 65;3.1 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XZ1 Compact;4.6’’;?;720 x 1280 px = HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , fingerprint , compass , accelerometer , light , proximity , Wi-Fi, Bluetooth 5.0 , GPS;2700 mAh , Li-Polymer;32 GB;4 GB;CMOS    f/2.0    19.3 MP    (back) , 12.98 MP    (front);129 x 65 x 9.3 mm;143 g;IP 68 , IP 65;3.1 , C;microSD;nano;Xperia UI;;
