Web links;;;;;;;;;;;;;;;;;;;;;;;;;
Android;Dedexer;Disassembler tool for DEX files;RI , reverse engineering , tools;http://dedexer.sourceforge.net/;;;;;;;;;;;;;;;;;;;;;
Android;Intent Sniffer;;RI , reverse engineering , tools;https://www.nccgroup.trust/us/about-us/resources/intent-sniffer/;;;;;;;;;;;;;;;;;;;;;
Java;CFR;Another Java decompiler;RI , reverse engineering , tools;http://www.benf.org/other/cfr/;;;;;;;;;;;;;;;;;;;;;
/;JAD;Java Decompiler;RI , reverse engineering , tools;http://varaneckas.com/jad/;;;;;;;;;;;;;;;;;;;;;
Kotlin;Software development explained with cars;;;https://toggl.com/developer-methods-infographic;;;;;;;;;;;;;;;;;;;;;
Android;Learn Kotlin while developing an Android app;;Kotlin , tutorials;https://medium.com/@juanchosaravia/learn-kotlin-while-developing-an-android-app-introduction-567e21ff9664#.4izg7j9n9;;;;;;;;;;;;;;;;;;;;;
Android;Feature discovery;;tap targets , prompts , step actions;https://material.google.com/growth-communications/feature-discovery.html#;;;;;;;;;;;;;;;;;;;;;
Web;Pathmorphing with AnimatedVectorDrawables in Android;;drawables , pathmorphing , animations;https://lewismcgeary.github.io/posts/animated-vector-drawable-pathMorphing/;;;;;;;;;;;;;;;;;;;;;
/;Progressive Web Apps;;progressive web app , pwa;https://developers.google.com/web/progressive-web-apps/;;;;;;;;;;;;;;;;;;;;;
/;Ecrans AMOLED vs IPS : qui offre la meilleure qualité d'afichage ?;;AMOLED , IPS;http://www.phonandroid.com/ecrans-amoled-vs-ips-qui-offre-meilleure-qualite-affichage.html;;;;;;;;;;;;;;;;;;;;;
Web;Toutes les différences entre un écran LCD, TFT, IPS, AMOLED et Retina;;LCD , TFT , IPS , AMOLED , Retina;http://www.androidpit.fr/difference-lcd-tft-amoled-retina;;;;;;;;;;;;;;;;;;;;;
Android;Progressive Web Apps rocks;;progressive web apps , pwa;https://pwa.rocks/;;;;;;;;;;;;;;;;;;;;;
Android;Les éditeurs d'antivirus Android, leurs mensonges et leurs secrets;Article with references to tools or companies about security;security;http://www.zdnet.fr/actualites/les-editeurs-d-antivirus-android-leurs-mensonges-et-leurs-secrets-39769784.htm;;;;;;;;;;;;;;;;;;;;;
Kotlin;Lessons from converting an app to 100% Kotlin;;Kotlin , app convert;https://medium.com/keepsafe-engineering/lessons-from-converting-an-app-to-100-kotlin-68984a05dcb6#.3rmy7agwo;;;;;;;;;;;;;;;;;;;;;
